title                                                         	text
Candidiasis (thrush)                                          	Candidiasis, also commonly referred to as thrush, is a fungal infection caused by an overgrowth of the yeast Candida albicans. This yeast naturally lives in small amounts in your mouth, digestive tract, and on your skin [1]. In healthy individuals, the immune system and other bacteria keep the growth of Candida in check.
Symptoms of Candidiasis (thrush)                              	Oral thrush: White patches on tongue/cheeks, burning mouth, swallowing difficulty.•  Genital thrush: Itching, irritation, discharge (females), redness (both).
Causes of Candidiasis (thrush)                                	Weakened immune system,Antibiotics disrupting mouth/vaginal bacteria,Uncontrolled diabetes,Dry mouth,Infants/older adults with immature/weakened immune systems,Hormonal changes (pregnancy, menstruation, menopause),Diet high in sugar/refined carbs,Poorly fitting dentures
Treatment of Candidiasis (thrush)                             	Treatment: Antifungal medications (clotrimazole, nystatin, miconazole, fluconazole)
Cryptococcosis                                                	Cryptococcosis is a fungal infection caused by the Cryptococcus species, primarily Cryptococcus neoformans and Cryptococcus gattii. This infection often occurs in people with weakened immune systems, such as those with HIV/AIDS
Symptoms of  Cryptococcosis                                   	Pulmonary cryptococcosis: Mimics pneumonia with cough, shortness of breath, and chest pain.
Symptoms of Cryptococcosis                                    	Cryptococcal meningitis (most common in immunocompromised individuals): Headache, fever, neck stiffness, nausea, vomiting, confusion, and vision problems.
Symptoms of Cryptococcosis                                    	Disseminated cryptococcosis: Can affect skin, bones, genitourinary tract, or prostate gland, causing various symptoms depending on the involved organ.
Treatment of Cryptococcosis                                   	Antifungal medications like fluconazole, itraconazole, or amphotericin B.Treatment duration varies depending on the severity and location of the infection.
Treatment of Cryptococcosis                                   	In immunocompromised individuals, lifelong antifungal therapy might be needed to prevent relapse.
Histoplasmosis                                                	A lung infection caused by inhaling fungal spores, leading to flu-like symptoms.
Symptoms of Histoplasmosis                                    	Mild cases: Often no symptoms, or flu-like symptoms such as fever, cough, and fatigue.•       Severe cases: Can cause serious lung infections, and in some cases, can spread to other parts of the body (disseminated histoplasmosis), leading to symptoms like chest pain, shortness of breath, weight loss, and night sweats.
Treatment of Histoplasmosis                                   	Mild cases might resolve without treatment,,Severe or chronic cases typically require antifungal medications such as itraconazole or amphotericin B and early detection and treatment are important, especially for individuals with weakened immune systems, such as those with HIV/AIDS.
Pneumocystis pneumonia (PCP)                                  	A type of pneumonia common in people with weakened immune systems, causing difficulty breathing, fever, and cough. It is caused by the fungus Pneumocystis jirovecii (formerly known as Pneumocystis carinii
Symptoms of Pneumocystis pneumonia (PCP)                      	Difficulty breathing (shortness of breath, rapid breathing), Fever, Dry cough (may worsen with activity) and Fatigue
Treatment of Pneumocystis pneumonia (PCP)                     	Trimethoprim-sulfamethoxazole (TMP/SMX) is the mainstay of treatment, alternative medications like atovaquone, pentamidine, or clindamycin with primaquine might be used for individuals intolerant of TMP/SMX.
Treatment of Pneumocystis pneumonia (PCP)                     	Supportive oxygen therapy may be necessary for severe cases.
Coccidioidomycosis                                            	Also known as Valley fever, a fungal infection that can cause flu-like symptoms, skin rashes, and joint pain.
Causes of Coccidioidomycosis                                  	Inhaling spores from the fungus Coccidioides immitis or Coccidioides posadasii found in soil in arid regions of the southwestern United States, northern Mexico, and parts of Central and South America.
Symptoms of Coccidioidomycosis                                	Fever ,Cough, Fatigue, Shortness of breath, Headache, Chills, Night sweats, Joint aches and Muscle soreness
Treatment of Coccidioidomycosis                               	Antifungal medications like fluconazole or itraconazole are typically used for treatment durations depending on the severity of the infection. In severe cases, amphotericin B may be necessary.
Cytomegalovirus (CMV)                                         	A virus that can cause severe eye infections, leading to blindness, and can also affect other organs.
Symptoms of Cytomegalovirus (CMV)                             	Cytomegalovirus retinitis (CMVR): A serious eye infection that can lead to vision loss and blindness. This is a major concern for people with HIV/AIDS, Pneumonia (inflammation of the lungs)
Symptoms of Cytomegalovirus (CMV)                             	Gastrointestinal (GI) problems: Colitis (inflammation of the colon) and esophagitis (inflammation of the esophagus), Hepatitis (inflammation of the liver) and Neurological problems: Encephalitis (inflammation of the brain)
Treatment of  Cytomegalovirus (CMV                            	Antiviral medications like ganciclovir, valganciclovir, or foscarnet are used to treat CMV infections, especially in immunocompromised individuals.Treatment duration depends on the severity of the infection and the affected organ system.
Herpes simplex virus (HSV)                                    	A virus causing painful sores around the mouth or genitals.
Types of Herpes Simplex Virus (HSV                            	HSV-1: This type typically causes oral herpes, also known as cold sores or fever blisters. These usually appear around the mouth or lips. HSV-2: This type is the most common cause of genital herpes, with sores appearing on the genitals, buttocks, or thighs.
Symptoms of Herpes simplex virus (HSV)                        	The initial infection with HSV can cause flu-like symptoms, swollen lymph nodes, and the first outbreak of blisters or sores. Recurrent outbreaks can occur throughout life, triggered by stress, illness, or sun exposure. These outbreaks typically have milder symptoms than the initial infection.
Treatment of Herpes Simplex Virus (HSV                        	There is no cure for HSV, but antiviral medications can shorten the duration and severity of outbreaks. Acyclovir, valacyclovir, and famciclovir are commonly used antiviral medications for HSV.
Varicella-zoster virus (VZV)                                  	The virus that causes chickenpox and shingles, leading to painful skin rashes and blisters.
Symptoms of Varicella-zoster virus (VZV)                      	Fever, fatigue, loss of appetite, followed by an itchy, blistering rash that starts on the face and trunk and spreads to the rest of the body. The blisters eventually scab over and heal.
Human papillomavirus (HPV)                                    	Human papillomavirus (HPV): A virus that can cause warts and is linked to cancers of the cervix, anus, and throat.
Symptoms of Human papillomavirus (HPV)                        	Many HPV strains cause no symptoms and clear up on their own, Some strains cause the development of warts, which can be: Genital warts: Soft, fleshy bumps that appear on the genitals or anus,Common warts: Rough, raised bumps on the hands or fingers and Plantar warts: Hard, wart-like growths on the soles of the feet.
Treatment of Human papillomavirus (HPV)                       	If you experience any concerning symptoms, consult a healthcare professional promptly for proper diagnosis and treatment. Early intervention can significantly improve your health outcomes and prevent complications
Progressive multifocal leukoencephalopathy (PML               	Progressive multifocal leukoencephalopathy (PML): A rare, often fatal, brain infection that leads to severe neurological symptoms.
causes of Progressive multifocal leukoencephalopathy (PML     	PML is caused by the JC virus (JCV), a polyomavirus that infects most people in childhood but remains dormant in the body. In individuals with weakened immune systems, the JC virus can reactivate and attack the myelin sheath, the protective layer surrounding nerve fibers in the brain. This damage disrupts nerve signals and leads to progressive neurological symptoms.
Symptoms of Progressive multifocal leukoencephalopathy (PML   	PML symptoms develop gradually and worsen over time. They can vary depending on the location of the brain affected by the JC virus. Here are some common symptoms:Weakness or clumsiness on one side of the bodyVision problems, including blurry vision, double vision, or loss of vision in one half of the visual field
Symptoms of Progressive multifocal leukoencephalopathy (PML   	Speech difficulties, slurring, or difficulty finding words, Memory problems, confusion, and difficulty thinking and Personality changes, mood swings, behavioral problems and Seizures (in some cases)
Treatment of Progressive multifocal leukoencephalopathy (PML  	Unfortunately, there's no cure for PML. Treatment focuses on managing symptoms and slowing disease progression. This might involve:Stopping or reducing immunosuppressive medications (if possible): This can help the immune system control the JC virus
Treatment of Progressive multifocal leukoencephalopathy (PML  	Medications to manage symptoms: Anticonvulsants for seizures, pain medication, or medications for cognitive difficulties.Supportive care: Occupational therapy, speech therapy, and physical therapy can help individuals maintain function and independence for as long as possible
Tuberculosis (TB)                                             	Tuberculosis (TB): A serious infection that primarily affects the lungs but can also impact other parts of the body. It causes a persistent cough, fever, and weight loss
Types of Tuberculosis (TB)                                    	Pulmonary TB: This is the most common form, affecting the lungs.Extrapulmonary TB: When the infection spreads beyond the lungs to other parts of the body like the lymph nodes, bones, brain, or kidneys.
Symptoms of Tuberculosis (TB)                                 	A persistent cough (lasting for more than 3 weeks) is the hallmark symptom of TB. Other common symptoms include: Fever, Night sweats, Unexplained weight loss, Fatigue, Loss of appetite, Chest pain (especially with coughing or deep breathing), Shortness of breath and Hemoptysis (coughing up blood)
Treatment of Tuberculosis (TB)                                	TB is a treatable disease. Treatment involves a combination of antibiotics taken for several months to ensure complete eradication of the bacteria. It's crucial to complete the entire course of antibiotics, even if symptoms improve, to prevent drug resistance.
Mycobacterium avium complex (MAC)                             	Mycobacterium avium complex (MAC): A group of bacteria that can cause widespread infection in the body, particularly affecting the lungs and intestines, leading to symptoms like fever, weight loss, and diarrhea
Symptoms of Mycobacterium avium complex (MAC)                 	The symptoms of MAC infection can vary depending on the affected organ system. Here's a breakdown of common presentations: Pulmonary MAC (most common): Mimics chronic obstructive pulmonary disease (COPD) with symptoms like:, Persistent cough, Shortness of breath, Fatigue, Weight loss, Low-grade fever and Night sweats
Symptoms of Mycobacterium avium complex (MAC)                 	Disseminated MAC (less common): The bacteria can spread beyond the lungs to various parts of the body, causing symptoms depending on the location:, Swollen lymph nodes, Fever, chills, and night sweats, Abdominal pain, diarrhea, or weight loss (if intestines involved), Skin lesions and Bone or joint pain
Treatment of Mycobacterium avium complex (MAC)                	Treatment for MAC infection typically involves a combination of antibiotics taken for months, sometimes even years, to eradicate the bacteria completely. The specific antibiotic regimen depends on the severity and location of the infection.
Salmonellosis                                                 	Salmonellosis: An infection caused by Salmonella bacteria, leading to diarrhea, fever, and abdominal cramps.
Causes of Salmonellosis                                       	Salmonella is a group of bacteria commonly found in the intestines of animals, including poultry, cattle, pigs, and even reptiles. Humans become infected by consuming contaminated food or water containing Salmonella bacteria.
Symptoms of Salmonellosis                                     	Diarrhea (may be bloody), Fever, Abdominal cramps, Nausea and vomiting, Headache and Muscle aches
Treatment of Salmonellosis                                    	Antibiotics are typically not recommended for uncomplicated salmonellosis in healthy individuals as they can contribute to antibiotic resistance. However, they might be necessary for severe cases or high-risk individuals.
Bacterial pneumonia                                           	A lung infection that causes fever, cough, and difficulty breathing.
causes of Bacterial pneumonia                                 	Several types of bacteria can cause pneumonia. The most common culprit in the United States is Streptococcus pneumoniae (pneumococcus), but others like Haemophilus influenzae and Legionella pneumophila can also be responsible.
Symptoms of Bacterial pneumonia                               	Productive cough (coughing up mucus) that may be green, yellow, or blood-tinged, Fever and chills, Shortness of breath or rapid breathing, Sharp chest pain that worsens with coughing or deep breathing, Fatigue, Loss of appetite and Confusion, especially in older adults
Treatment of Bacterial pneumonia                              	Bacterial pneumonia is treated with antibiotics. The specific antibiotic chosen depends on the type of bacteria identified through the sputum culture. Most cases can be treated with oral antibiotics at home, but severe cases requiring hospitalization and intravenous antibiotics may occur. Supportive measures like pain relievers for fever and chest pain, and oxygen therapy for individuals with difficulty breathing, may also be necessary.
Toxoplasmosis                                                 	Caused by a parasite called Toxoplasma gondii.  Infection can occur through contact with cat feces (infected cats shed the parasite in their stool) or by consuming undercooked meat containing the parasite cysts.
Treatment of Toxoplasmosis                                    	Antibiotic medications are used to treat toxoplasmosis infection, especially in pregnant women and individuals with weakened immune systems.
Cryptosporidiosis                                             	Cryptosporidiosis is a parasitic infection that primarily affects the intestines and causes unpleasant gastrointestinal issues. Cryptosporidiosis is caused by a microscopic parasite called Cryptosporidium. This parasite lives in the intestines of infected humans and animals.
Symptoms of Cryptosporidiosis                                 	Stomach cramps and abdominal pain, Nausea and vomiting, Loss of appetite, Weight loss (in severe cases) and Low-grade fever (may not always be present)
Isosporiasis                                                  	A parasitic infection of the intestines causing diarrhea, fever, and weight loss.
Causes of Isosporiasis                                        	Isosporiasis is caused by a single-celled parasite called Cystoisospora belli. This parasite infects the intestinal wall and disrupts nutrient absorption.
Symptoms of Isosporiasis                                      	Abdominal cramps and pain, Nausea and vomiting, Fever (may not always be present), Weight loss (due to poor nutrient absorption) and Fatigue and malaise
Microsporidiosis                                              	An infection caused by microscopic parasites leading to diarrhea and wasting.
Causes of Microsporidiosis                                    	Microsporidiosis is caused by a group of microscopic parasites called microsporidia. These parasites are obligate intracellular parasites, meaning they can only live and reproduce inside the cells of their host.
Symptoms of Microsporidiosis                                  	Abdominal pain and cramping, Loss of appetite and weight loss (due to malabsorption), Fatigue and malaise and Fever (may not always be present)
Treatment of Microsporidiosis                                 	Antiparasitic medications like albendazole or nitazoxanide, Antiretroviral therapy (ART) for individuals with HIV/AIDS, as a strengthened immune system can better fight off the infection. and Supportive measures to manage symptoms and prevent complications, such as oral rehydration solutions and dietary modifications.
Building a Balanced Plate                                     	A balanced diet provides your body with the essential nutrients it needs to fight infection, stay strong, and maintain a healthy weight. Focus on filling half your plate with non-starchy vegetables (broccoli, spinach, carrots), a quarter with lean protein (chicken, fish, beans), and the remaining quarter with whole grains (brown rice, quinoa, whole-wheat bread). Include healthy fats (olive oil, avocado) in moderation for satiety and nutrient absorption.
Importance of Protein for Maintaining Muscle Mass             	Protein is essential for building and repairing tissues, including muscle. Muscle wasting is a potential concern for people with HIV. Choose lean protein sources like fish, poultry, beans, lentils, low-fat dairy products, and eggs throughout the day to help maintain muscle mass and support immune function.
Prioritizing Fruits and Vegetables                            	Fruits and vegetables are packed with vitamins, minerals, antioxidants, and fiber, all of which play a vital role in immune function and overall health. Aim for a variety of colorful fruits and vegetables daily. Frozen or canned options (packed in water or light juice) can be affordable and convenient choices.
Staying Hydrated                                              	Water is crucial for many bodily functions, including nutrient absorption and waste removal. Dehydration can worsen fatigue, a common symptom experienced by people with HIV. Aim for eight glasses of water daily. Consider carrying a reusable water bottle and sipping throughout the day.
Managing Nausea and Vomiting                                  	Nausea and vomiting can be side effects of HIV medications or infections. Opt for bland, easily digestible foods like crackers, toast, rice, or plain pasta. Ginger tea or small sips of clear broth may help settle your stomach. Consult your doctor for medication adjustments or additional management strategies if nausea or vomiting persists.
Coping with Diarrhea                                          	Diarrhea can lead to dehydration and electrolyte imbalance. Eat bland, easily digestible foods like bananas, applesauce, or cooked vegetables. Stick to clear liquids and broths to stay hydrated. Avoid caffeine and alcohol, which can worsen diarrhea. Consult your doctor if diarrhea is severe or doesn't improve within a few days.
Maintaining Appetite                                          	Loss of appetite is a common symptom experienced by some people with HIV. Eat smaller, more frequent meals (every 2-3 hours) throughout the day to avoid feeling overwhelmed. Choose nutrient-dense, calorie-rich foods like smoothies made with fruits, yogurt, and protein powder; yogurt parfaits with granola and berries; or nut butters on whole-wheat bread or crackers. Consider adding nutritional supplements under your doctor's supervision to ensure you're getting enough essential nutrients.
Food Safety Precautions                                       	People with HIV may be more susceptible to foodborne illness due to a weakened immune system. Minimize your risk by washing fruits and vegetables thoroughly before consumption. Cook meats to a safe internal temperature using a food thermometer. Practice proper food handling and storage techniques, such as refrigerating or freezing perishable items promptly and avoiding cross-contamination during food preparation.
Food and Medication Interactions                              	Certain foods can interact with HIV medications, potentially affecting their absorption. Discuss any concerns about food-drug interactions with your doctor or pharmacist. Generally, it's best to take medications with a small meal to improve absorption. However, some medications may need to be taken on an empty stomach. Follow your doctor's specific instructions for each medication.
Vitamins and Supplements                                      	A balanced diet should provide most essential nutrients. However, some people with HIV may benefit from specific vitamins or minerals, such as vitamin A, vitamin D, vitamin B12, or iron, depending on individual needs. Consult your doctor or a registered dietitian to determine if supplements are right for you and to avoid taking high doses or interacting with medications.
Affordable Healthy Eating Strategies                          	Healthy eating doesn't have to be expensive. Plan your meals weekly and create a grocery list to avoid impulse purchases. Buy in-season produce, which is typically more affordable. Utilize affordable protein sources like beans, lentils,
Reporting Side Effects                                        	If you experience any side effects from your HIV medication, it's crucial to report them to your healthcare facility. Call the facility and inform them about the specific side effects you're experiencing. This allows healthcare professionals to document the side effects, determine their severity, and suggest potential solutions. They may recommend adjustments to your medication regimen, prescribe additional medications to manage side effects, or offer guidance on managing them at home.
Accessing Treatment Regimen Information                       	Accessing Treatment Regimen Information Through App (if available): 1. Open the treatment application on your device. 2. Navigate to your treatment profile within the application. 3. Within your profile, you should find comprehensive details about your specific treatment regimen, including medication names, dosages, frequency of intake, and any additional important guidelines you need to follow.
Understanding Stable Clients in HIV Treatment                 	In the context of HIV treatment, a stable client refers to a person living with HIV who is on Antiretroviral Therapy (ART) and demonstrates consistent adherence to their medication schedule. This means they take their medications as prescribed, at the correct frequency and dosage. Stable clients typically experience a suppressed viral load, indicating effective HIV management.
Frequency of Facility Visits for Stable Clients               	For stable clients who are effectively managing their HIV with good medication adherence, a differentiated care model is often implemented. This model allows for less frequent clinical consultations compared to clients who may be experiencing challenges with adherence or have other health concerns. Under this model, stable clients typically visit the healthcare facility for consultations every 6 months.
Distinguishing High Viral Load and Low Detectable Viral Load  	Viral load refers to the amount of HIV virus present in your bloodstream, measured in copies per milliliter (cp/ml). A high viral load indicates a significant amount of the virus in your body. This means the test results show a value higher than 836 cp/ml. On the other hand, a low detectable viral load (LDL VL) refers to a viral load with a measured value less than 800 cp/ml. This suggests a lower amount of the virus present in your bloodstream.
Suppressed vs. Undetectable Viral Load                        	A suppressed viral load means the HIV viral load test results show a value below the 800 cp/ml threshold. This is similar to a low detectable viral load (LDL VL), indicating a low level of the virus in the blood. However, an undetectable viral load signifies an even lower viral level. It's so low that current tests cannot reliably measure it. While undetectable means the amount of virus is extremely low, it's important to understand that it doesn't necessarily mean the virus is completely eradicated from your body.
Responding to a Positive EID Test Result for a Baby/Dependent 	If your baby or dependent receives a positive Early Infant Diagnosis (EID) test result for HIV, it's crucial to visit a healthcare facility immediately. Early initiation of Antiretroviral Therapy (ART) for HIV-positive infants and children is essential for their health and well-being. The healthcare facility will provide the necessary care and treatment plan to help your baby or dependent manage HIV effectively.
Viral Load Testing Frequency                                  	The recommended frequency for viral load testing depends on your stability as a client in the HIV treatment program. For stable clients who are adhering well to their medication regimen and maintaining a suppressed viral load, a viral load test is typically recommended every 3 months. However, the frequency may vary based on individual circumstances. For clients experiencing challenges with adherence or facing other health concerns, the healthcare provider will determine the appropriate testing frequency based on their specific situation and adherence level.
Recognizing Signs of Depression                               	Feeling down, unmotivated, and a loss of interest in activities you once enjoyed can be symptoms of depression. However, for a proper diagnosis, it's important to consult with a mental health professional. A therapist or psychiatrist can assess your specific situation and determine if you're experiencing depression. They can then recommend the most appropriate course of treatment, which may include therapy, medication, or a combination of both.
Managing Anxiety                                              	Anxiety is a common experience, but when it becomes constant and interferes with your daily life, it can be debilitating. There are many strategies for managing anxiety, including relaxation techniques like deep breathing or meditation. Regular exercise is also a great way to reduce anxiety symptoms. Consider talking to a therapist for personalized guidance on managing your specific anxieties and developing effective coping mechanisms.
Stress vs. Mental Health Disorders                            	Feeling stressed is a normal part of life. It's the body's natural response to challenging situations. However, when stress becomes chronic and overwhelming, and starts to interfere with your ability to function in daily activities, it might be a sign of an underlying mental health disorder. If you're concerned about the level of stress you're experiencing and its impact on your life, talking to a mental healthcare professional can be helpful. They can assess your situation and provide guidance on managing stress or identify if there's a more serious underlying condition.
Healthy Coping Mechanisms for Stress                          	Developing healthy coping mechanisms is crucial for managing stress effectively. Here are some strategies you can incorporate into your life: * Exercise: Regular physical activity is a great way to combat stress and improve your overall mood. * Relaxation Techniques: Techniques like deep breathing, meditation, and progressive muscle relaxation can help reduce stress and promote feelings of calm. * Spending Time in Nature: Immersing yourself in nature has been shown to have positive effects on mental well-being. Spending time outdoors can help reduce stress and improve mood. * Connecting with Loved Ones: Social connections are important for mental health. Spending time with supportive friends and family can provide a sense of belonging and help you feel less alone. * Engaging in Activities You Enjoy: Make time for activities you find pleasurable, whether it's reading, listening to music, spending time with hobbies, or pursuing creative outlets.
Importance of Sleep for Mental Health                         	Sleep is essential for good mental health. When you don't get enough quality sleep, you're more vulnerable to experiencing symptoms of anxiety and depression. Aim for 7-8 hours of sleep each night to allow your body and mind to rest and recharge. Develop a consistent sleep schedule and practice good sleep hygiene to improve your sleep quality.
Recovery from Mental Health Disorders                         	Many mental health disorders are treatable with therapy, medication, or a combination of both. With proper treatment and support, people can recover from mental health conditions and live fulfilling lives. If you're struggling with a mental health disorder, know that there is hope for recovery. Reach out for help from a qualified mental health professional and take steps towards healing and well-being.